salinity,turbidity,ORP,PH,TDS,Pressure in,Pressure out,pump current,Human Counter,temperature,water level,Human Diff
284.607,5.90918,787.432,7.42839,284.607,2.5387,2.53707,0.0,0.0,74.2574,500.0,0.0
284.589,5.90918,788.336,7.43535,284.589,2.53834,2.53707,0.0,0.0,74.2574,500.0,0.0
284.824,5.5957,787.613,7.46067,284.824,2.53997,2.5378,0.0,0.0,74.2574,500.0,0.0
284.716,4.96875,788.065,7.42142,284.716,2.53942,2.53798,0.0,0.0,74.2574,500.0,0.0
284.68,4.96875,787.884,7.43092,284.68,2.53924,2.53816,0.0,0.0,74.2574,500.0,0.0
284.77,5.12549,788.246,7.43282,284.77,2.53961,2.5378,0.0,0.0,74.2574,500.0,0.0
284.734,4.65527,787.974,7.42775,284.734,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.752,4.81201,788.246,7.42649,284.752,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.68,4.81201,788.065,7.42965,284.68,2.53997,2.5378,0.0,0.0,74.2574,500.0,0.0
284.752,4.49854,788.246,7.4537,284.752,2.53961,2.53816,0.0,0.0,74.2574,500.0,0.0
284.77,4.81201,788.065,7.44927,284.77,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
284.625,4.96875,787.884,7.43218,284.625,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.227,6.22266,788.065,7.46446,284.227,2.53707,2.53545,0.0,0.0,74.2574,500.0,0.0
284.173,6.53613,787.613,7.43155,284.173,2.53671,2.53563,0.0,0.0,74.2574,500.0,0.0
284.137,6.37939,787.974,7.42649,284.137,2.53707,2.53563,0.0,0.0,74.2574,500.0,0.0
